сорт;урожай;площадь;высота
пшеница;5,24;97;97,0
пшеница;5,31;86;101,3
пшеница;4,92;85;86,7
пшеница;5,21;85;97,2
пшеница;5,39;81;105,0
пшеница;4,71;124;94,4
пшеница;5,03;117;96,8
пшеница;5,16;128;109,9
пшеница;5,51;101;89,3
пшеница;5,25;128;102,1
пшеница;5,21;86;100,3
пшеница;5,07;96;102,3
€чмень;4,93;114;82,9
€чмень;5,34;85;101,6
€чмень;3,99;119;88,4
€чмень;4,98;92;88,3
€чмень;4,67;94;90,2
€чмень;4,87;94;74,8
€чмень;4,96;109;87,6
€чмень;4,45;103;87,7
€чмень;4,33;124;99,1
€чмень;5,23;118;88,6
€чмень;4,37;95;86,4
€чмень;4,9;120;97,0
овЄс;3,79;100;80,1
овЄс;4,28;94;75,3
овЄс;4,22;105;74,2
овЄс;3,87;116;88,1
овЄс;4,15;121;80,3
овЄс;3,07;121;84,1
овЄс;3,6;95;85,2
овЄс;3,88;127;76,5
овЄс;3,16;105;77,5
овЄс;3,01;88;99,7
овЄс;3,73;83;83,8
овЄс;4,05;90;81,4
